timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change,Exchange Rate,foreign_price_krw
2022-04-23,"39,446.7","39,726.0","40,008.0","39,312.0",1.92K,-0.70%,39446.7,39726.0,40008.0,39312.0,1920.0,-0.7,1236.4,48771899.88
2022-04-22,"39,724.0","40,502.0","40,799.0","39,195.0",4.13K,-1.92%,39724.0,40502.0,40799.0,39195.0,4130.0,-1.92,1236.4,49114753.6
2022-04-21,"40,502.0","41,365.0","42,977.0","39,807.0",4.56K,-2.09%,40502.0,41365.0,42977.0,39807.0,4560.0,-2.09,1237.1,50105024.199999996
2022-04-20,"41,366.4","41,516.8","42,195.4","40,905.0",3.73K,-0.36%,41366.4,41516.8,42195.4,40905.0,3730.0,-0.36,1234.9,51083367.36000001
2022-04-19,"41,516.8","40,821.0","41,743.0","40,601.0",2.40K,1.70%,41516.8,40821.0,41743.0,40601.0,2400.0,1.7,1232.8,51181911.04
2022-04-18,"40,821.0","39,707.6","41,123.2","38,557.0",4.99K,2.80%,40821.0,39707.6,41123.2,38557.0,4990.0,2.8,1230.1,50213912.099999994
2022-04-17,"39,707.6","40,408.7","40,611.0","39,567.0",1.66K,-1.74%,39707.6,40408.7,40611.0,39567.0,1660.0,-1.74,1224.2,48610043.92
2022-04-16,"40,408.7","40,587.0","40,717.0","40,033.1",1.49K,-0.44%,40408.7,40587.0,40717.0,40033.1,1490.0,-0.44,1224.2,49468330.54
2022-04-15,"40,587.0","39,948.0","40,807.0","39,792.0",2.21K,1.60%,40587.0,39948.0,40807.0,39792.0,2210.0,1.6,1224.2,49686605.4
2022-04-14,"39,948.0","41,155.0","41,510.3","39,604.0",3.17K,-2.93%,39948.0,41155.0,41510.3,39604.0,3170.0,-2.93,1227.7,49044159.6
2022-04-13,"41,155.0","40,088.0","41,540.0","39,607.0",4.57K,2.66%,41155.0,40088.0,41540.0,39607.0,4570.0,2.66,1236.6,50892272.99999999
2022-04-12,"40,087.0","39,565.0","40,649.0","39,300.0",4.11K,1.32%,40087.0,39565.0,40649.0,39300.0,4110.0,1.32,1232.0,49387184.0
2022-04-11,"39,565.0","42,181.0","42,437.0","39,274.0",6.70K,-6.20%,39565.0,42181.0,42437.0,39274.0,6700.0,-6.2,1224.0,48427560.0
2022-04-10,"42,181.0","42,780.0","43,460.0","41,933.0",3.03K,-1.40%,42181.0,42780.0,43460.0,41933.0,3030.0,-1.4,1218.5,51397548.5
2022-04-09,"42,780.0","42,277.0","42,824.0","42,137.0",1.92K,1.19%,42780.0,42277.0,42824.0,42137.0,1920.0,1.19,1218.5,52127430.0
2022-04-08,"42,277.0","43,458.0","43,984.0","42,137.3",4.35K,-2.72%,42277.0,43458.0,43984.0,42137.3,4350.0,-2.72,1218.5,51514524.5
