timestamp,Exchange Rate,close,open,high,low,volume,change,비트코인,업비트,bitcoin,coinbase
2021-04-16,1117.6,68536820.0,70627849.6,70915072.8,67375633.6,11540.0,-2.96,54,97,62,25
2021-04-17,1117.6,67022471.99999999,68536820.0,69702141.52,67022471.99999999,7020.0,-2.21,50,88,50,16
2021-04-18,1117.6,62767768.8,67022471.99999999,67305224.8,60816215.68,26330.0,-6.35,76,100,95,14
2021-04-19,1117.9,62198838.1,62795796.7,64121626.10000001,61387019.120000005,8570.0,-0.93,58,88,74,14
2021-04-20,1118.2,63151463.2,62215529.800000004,63681490.0,60827843.6,8390.0,1.5,66,91,68,12
2021-04-21,1113.4,59925414.800000004,62880378.400000006,62880378.400000006,59925414.800000004,7100.0,-4.7,48,78,56,10
2021-04-22,1117.4,57860424.620000005,60140702.800000004,61531865.800000004,57860424.620000005,12690.0,-3.79,69,80,65,10
2021-04-23,1116.3,57086465.699999996,57803465.19,57803465.19,54385689.48,17250.0,-1.24,95,94,100,9
2021-04-24,1116.3,56001422.099999994,57086465.699999996,57086465.699999996,55337223.599999994,5980.0,-1.9,64,68,69,7
2021-04-25,1116.3,54828525.69,56001422.099999994,56416685.699999996,54039859.74,9600.0,-2.09,56,64,62,6
2021-04-26,1118.9,60535846.7,54970438.1,60660044.6,54970438.1,11010.0,10.15,51,69,65,7
2021-04-27,1114.0,61319016.0,60270742.0,61509510.0,59777240.0,7240.0,1.74,46,67,60,7
2021-04-28,1110.8,60938488.0,61142875.199999996,61732710.0,60083172.0,5760.0,-0.33,47,65,55,7
2021-04-29,1112.5,59592175.0,61031750.0,61031750.0,58551987.5,7080.0,-2.36,37,53,52,7
2021-04-30,1107.4,63827213.800000004,59318988.400000006,63827213.800000004,59067608.6,7860.0,7.6,34,59,52,7
2021-05-01,1107.4,63978927.60000001,63824666.78,64522661.00000001,63408616.6,4320.0,0.24,32,54,25,4
2021-05-02,1107.4,62684377.00000001,63978927.60000001,63978927.60000001,62440749.00000001,4200.0,-2.02,35,55,24,3
2021-05-03,1109.6,63410311.199999996,62808907.99999999,65117985.599999994,62808907.99999999,7630.0,0.96,35,63,27,5
2021-05-04,1119.3,59618395.199999996,63964637.099999994,63964637.099999994,59618395.199999996,10030.0,-6.79,42,76,28,6
2021-05-05,1119.3,64334006.099999994,59278128.0,64334006.099999994,59278128.0,7660.0,7.91,45,90,28,7
2021-05-06,1121.1,63287216.099999994,64448675.699999996,64847787.3,62666126.699999996,10440.0,-1.79,43,80,26,7
2021-05-07,1125.5,64546299.5,63535600.5,65392675.5,62584553.0,6930.0,1.59,39,91,22,6
