timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change
2022-11-03,"28,737,000","28,670,000","28,874,000","28,475,000",0.42K,0.23%,28737000.0,28670000.0,28874000.0,28475000.0,420.0,0.23
2022-11-02,"28,670,000","28,762,000","29,300,000","28,550,000",1.13K,-0.34%,28670000.0,28762000.0,29300000.0,28550000.0,1130.0,-0.34
2022-11-01,"28,767,000","28,769,000","28,895,000","28,642,000",0.41K,-0.07%,28767000.0,28769000.0,28895000.0,28642000.0,410.0,-0.07
2022-10-31,"28,788,000","28,971,000","29,219,000","28,520,000",0.28K,-0.61%,28788000.0,28971000.0,29219000.0,28520000.0,280.0,-0.61
2022-10-30,"28,964,000","29,123,000","29,350,000","28,900,000",0.37K,-0.52%,28964000.0,29123000.0,29350000.0,28900000.0,370.0,-0.52
2022-10-29,"29,116,000","28,939,000","29,472,000","28,900,000",0.96K,0.61%,29116000.0,28939000.0,29472000.0,28900000.0,960.0,0.61
2022-10-28,"28,940,000","28,572,000","29,167,000","28,340,000",0.61K,1.29%,28940000.0,28572000.0,29167000.0,28340000.0,610.0,1.29
2022-10-27,"28,572,000","29,087,000","29,187,000","28,490,000",0.70K,-1.78%,28572000.0,29087000.0,29187000.0,28490000.0,700.0,-1.78
2022-10-26,"29,089,000","28,465,000","29,428,000","28,432,000",0.73K,2.19%,29089000.0,28465000.0,29428000.0,28432000.0,730.0,2.19
2022-10-25,"28,465,000","27,775,000","28,861,000","27,610,000",1.67K,2.48%,28465000.0,27775000.0,28861000.0,27610000.0,1670.0,2.48
2022-10-24,"27,775,000","27,993,000","28,062,000","27,613,000",0.34K,-0.78%,27775000.0,27993000.0,28062000.0,27613000.0,340.0,-0.78
2022-10-23,"27,993,000","27,613,000","28,117,000","27,482,000",0.54K,1.38%,27993000.0,27613000.0,28117000.0,27482000.0,540.0,1.38
2022-10-22,"27,612,000","27,592,000","27,681,000","27,540,000",0.12K,0.07%,27612000.0,27592000.0,27681000.0,27540000.0,120.0,0.07
2022-10-21,"27,592,000","27,484,000","27,720,000","27,119,000",0.40K,0.39%,27592000.0,27484000.0,27720000.0,27119000.0,400.0,0.39
2022-10-20,"27,484,000","27,646,000","27,787,000","27,379,000",0.61K,-0.59%,27484000.0,27646000.0,27787000.0,27379000.0,610.0,-0.59
2022-10-19,"27,646,000","27,790,000","27,807,000","27,528,000",0.25K,-0.52%,27646000.0,27790000.0,27807000.0,27528000.0,250.0,-0.52
2022-10-18,"27,791,000","28,023,000","28,160,000","27,518,000",0.46K,-0.83%,27791000.0,28023000.0,28160000.0,27518000.0,460.0,-0.83
2022-10-17,"28,023,000","27,680,000","28,170,000","27,482,000",0.37K,1.24%,28023000.0,27680000.0,28170000.0,27482000.0,370.0,1.24
2022-10-16,"27,680,000","27,548,000","27,895,000","27,482,000",0.46K,0.48%,27680000.0,27548000.0,27895000.0,27482000.0,460.0,0.48
2022-10-15,"27,548,000","27,652,000","27,708,000","27,441,000",0.40K,-0.38%,27548000.0,27652000.0,27708000.0,27441000.0,400.0,-0.38
2022-10-14,"27,652,000","27,787,000","28,546,000","27,496,000",0.56K,-0.54%,27652000.0,27787000.0,28546000.0,27496000.0,560.0,-0.54
2022-10-13,"27,802,000","27,459,000","28,051,000","26,400,000",1.06K,1.20%,27802000.0,27459000.0,28051000.0,26400000.0,1060.0,1.2
2022-10-12,"27,472,000","27,351,000","27,517,000","27,200,000",0.27K,0.43%,27472000.0,27351000.0,27517000.0,27200000.0,270.0,0.43
2022-10-11,"27,354,000","27,429,000","27,685,000","27,120,000",0.45K,-0.27%,27354000.0,27429000.0,27685000.0,27120000.0,450.0,-0.27
